created_time,message,id
2017-11-20T14:00:00+0000,"Introducing Maker Faire, an organization that uses Facebook Events to bring their community together in person. Maker Faire unites makers of all kinds—from drone pilots to robot builders to nurses who make life-saving devices—then helps them stay connected with each other in between gatherings. Connect in person with communities you’re into at www.facebook.com/events",20531316728_10156765527136729
2017-11-16T00:45:10+0000,Facebook for Creators is here! Find out how to turn that amazing thing you do into an even more amazing thing. Tap here to get inspired and learn more: www.facebook.com/creators,20531316728_10156746971476729
2017-11-15T23:30:00+0000,Former Georgetown University student Febin wanted to give back to the people who take care of his campus and give them credit for all they do. So he created the Unsung Heroes Page. See more stories at www.facebook.com/CommunityVoices (http://www.facebook.com/communityvoices),20531316728_10156746728201729
2017-11-11T08:00:00+0000,"This Veterans Day, join all of us at Facebook in saluting the entire community of veterans, service members, and their families. #TheyServed.",20531316728_10156725574856729
2017-11-04T03:00:00+0000,New! Facebook Polls! Get answers to those burning questions...like should you selfie now or not?,20531316728_10156688916596729
2017-10-24T17:03:05+0000,"Join us at F8 2018 to experience what’s next for Facebook. May 1-2, San Jose, CA. Sign up to receive updates at http://www.f8.com/.",20531316728_10156648524256729
2017-08-28T21:51:20+0000,A photo lets you share a moment. But a 360 Photo lets your friends and family explore the moment with you. And now you can take 360 Photos right from your Facebook app. Just look for the ‘360 Photo’ icon in your status menu and start capturing.,20531316728_10156384500276729
2017-07-05T19:19:05+0000,"There is now a community of 2 billion people active on Facebook every month. To celebrate, we made a personalized video highlighting some of the good each of us puts out there each day.

To access your video, go to facebook.com/goodaddsup.",20531316728_10156005054966729
2017-06-15T04:04:04+0000,"Today the GIF turns 30! And while everyone loves GIFs, how to SAY “GIF” is still up for debate. So, how do you pronounce the “G”?",20531316728_10155920035951729
2017-05-26T16:20:50+0000,"Mark delivered the Commencement Address at Harvard University.
 
“Today I want to talk about purpose. But I'm not here to give you the standard commencement about finding your purpose. We're millennials. We'll try to do that instinctively. Instead, I'm here to tell you finding your purpose isn't enough. The challenge for our generation is creating a world where everyone has a sense of purpose.”",20531316728_10155849356871729
2017-05-14T15:00:00+0000,"Happy Mother's Day! Today we're inviting you to share a Mother's Day card with a mom or other loved one. Explore a variety of custom designs and share your favorite: www.facebook.com/MothersDayCards2017. In Facebook Camera, you can also find some new Mother’s Day-themed masks and frames. Tap on the camera button on the top left corner and visit the effects tray.",20531316728_10155808955746729
2017-03-28T20:27:17+0000,"Today, we’re excited to introduce the new Facebook camera. We think it’ll give everyone more ways to express themselves and share what they’re up to. So from now on, you can just let your camera do the talking.",20531316728_10155656407651729
2017-02-14T18:00:02+0000,Happy Valentine's Day! We’re making it easy for you to share Valentine's Day cards with your friends and loved ones. Explore the collection of custom designs and choose your favorite: facebook.com/ValentinesDayCards2017,20531316728_10155520103071729
2017-02-04T15:00:03+0000,"Today is Friends Day! To celebrate, we invited members of our community to our headquarters to talk about the importance of friendship. On this #friendsday, we hope you take time to appreciate the friends in your life and let them know you’re thinking about them.",20531316728_10155484162461729
2017-02-02T20:18:13+0000,"This Saturday, February 4 is Friends Day—a day to celebrate our friendships and a time to connect with friends. This year, we asked members of our community to share what friendship means to them on #friendsday",20531316728_10155479830046729
2016-12-08T13:11:11+0000,"Today, we remember what was on our minds in 2016 and the moments we shared together.",20531316728_10155278547321729
2016-11-18T02:43:01+0000,"We believe in the power of our community, so we've built tools to enable people to do good in the world and help keep people safe during personal and global crises. See what was announced at today's Social Good Forum.",20531316728_10155214512696729
2016-10-21T20:15:59+0000,"We can all innovate a little faster when we work together, so we open-sourced our Surround 360 Camera design and stitching code. Now that everyone has access to 3D-360 technology, we're able to bring new experiences—like having a front-row seat to your favorite band—to everyone. Check out Surround 360 as GROUPLOVE rocks out with Fender gear.",20531316728_10155122172431729
2016-10-11T20:46:11+0000,"Today, on International Day of the Girl, we're coming together and partnering with global NGOs to promote equality and opportunity for women and girls around the world. Take a stand for girls by adding a frame to your profile picture. Click here to try it: http://facebook.com/profilepicframes/dayofthegirl",20531316728_10155085288566729
2016-09-21T07:00:00+0000,"Happy International Day of Peace! Let’s all celebrate by coming together and giving a little more love, today.",20531316728_10155008726816729
2016-09-08T01:57:20+0000,"10 years ago we launched News Feed. Many things have changed, but it's been inspiring to watch News Feed grow as a place where people share and discover what's meaningful, together.",20531316728_10154980190256729
2016-08-05T19:28:47+0000,"The Opening Ceremonies are today! As the world comes together for the Olympic Games, show your support by adding a frame to your profile picture. Click here to try it: http://facebook.com/rio2016frames",20531316728_10154878491331729
2016-07-21T16:00:00+0000,"The internet provides information, opportunity and human connection, yet less than half the world has access. We’re proud to announce the successful first test flight of Aquila, the solar airplane we designed to bring internet access to people living in remote locations. This innovative plane has the wingspan of an airliner but weighs less than a small car and flies on roughly the power of three blow dryers — incredible!",20531316728_10154835146021729
2016-07-21T03:02:11+0000,One billion people now use Messenger every month. Celebrate with us by sending a balloon emoji in any conversation!,20531316728_10154833920726729
2016-06-14T00:04:45+0000,Being connected allows us to help one another in life changing ways. Facebook is proud to support organ donation. Click to learn how you can become an organ donor.,20531316728_10154729016861729
2016-04-23T14:00:03+0000,Today is World Book Day! Get lost in a book or share what you're reading at Books on Facebook.,20531316728_10154597567106729
2016-04-13T17:12:33+0000,Day two of our annual #F8 developer conference is here! Join us for live event coverage at Facebook for Developers.,20531316728_10154577326771729
2016-04-12T15:00:17+0000,"Today developers from all over the globe are gathering in San Francisco for our annual #F8 developer conference! We'll announce some awesome new products, talk about what we're working on, and give a glimpse into Facebook's future. Tune in live to watch Mark Zuckerberg kick off the event at 10am PST.",20531316728_10154574665026729
2016-04-06T15:02:34+0000,Join the Q&A with Chris Cox about Facebook Live.,20531316728_10154558273596729
2016-04-05T04:00:00+0000,"Today we’re proud to introduce automatic alternative text, a new feature that provides people who are visually impaired with descriptions of a photo’s content using advancements in object recognition technology. For more info, stop by Facebook Accessibility.",20531316728_10154553970951729
2016-03-08T17:19:01+0000,"It's International Women’s Day! This year, Facebook Stories teamed up with The Atlas of Beauty to recognize six women who are doing their part to make the world a more equal place. Take a look. #IWD2016",20531316728_10154456369126729
2016-02-29T19:54:21+0000,"Reactions are here! We're excited to officially announce even more ways to celebrate, sympathize, admire and love. They're right behind the Like button. Just press, hold and enjoy.",20531316728_10154436519856729
2016-02-11T21:32:12+0000,It's when we all come together that the brightest ideas come to fruition.,20531316728_10154392917806729
2016-02-05T00:19:10+0000,"Today is all about celebrating our friends and connections. Earlier this week we invited 18 members of our community, who have incredible stories about connecting, to our Menlo Park headquarters. Here’s to new friends, old friends, and yet-to-be friends!",20531316728_10154374733446729
2016-02-04T20:19:39+0000,Shout out to GirlCrew and other groups that bring people together to foster new friendships. #friendsday,20531316728_10154376658486729
2016-02-04T17:33:00+0000,,20531316728_10154376342171729
2016-01-21T19:28:14+0000,,20531316728_10154345511416729
2015-12-13T18:13:20+0000,"2015 brought us triumph, tragedy, heartbreak and hope. Here's to all the connections we've made this year, and all the ones we'll make in the next.",20531316728_10154249775416729
2015-12-09T19:00:49+0000,"Friends don't let friends copy and paste memes. While Priscilla and Mark's pledge to give money to improve the world is real, not everything you read on the internet is, and they're not giving it away randomly. Be safe out there, sweepstakes seekers.",20531316728_10154244454516729
